Year,Month,Day,Hour,air_temp,windspeed,winddir,pressure,humidity,rainfall,fog,AOD
2009.00,11.0000,1.00000,0.000000,15.9600,0.0500000,358.990,987.020,75.9000,502.000,128.000,-999.000
2009.00,11.0000,1.00000,1.00000,16.1500,0.0500000,358.990,987.610,76.9800,502.000,128.000,-999.000
2009.00,11.0000,1.00000,2.00000,17.6700,0.0500000,358.990,988.590,76.9800,502.000,128.000,-999.000
2009.00,11.0000,1.00000,3.00000,21.2900,0.0500000,73.5600,989.270,64.9600,502.000,128.000,-999.000
2009.00,11.0000,1.00000,4.00000,24.1700,0.0500000,238.760,989.660,58.9900,502.000,128.000,-999.000
2009.00,11.0000,1.00000,5.00000,26.0800,0.240000,194.770,989.570,52.9300,502.000,128.000,-999.000
2009.00,11.0000,1.00000,6.00000,27.2000,0.440000,87.7300,988.980,44.9200,502.000,128.000,-999.000
2009.00,11.0000,1.00000,7.00000,28.2700,0.540000,93.6000,988.200,41.9800,502.000,128.000,-999.000
2009.00,11.0000,1.00000,8.00000,29.4000,0.340000,319.890,986.930,37.9800,502.000,128.000,-999.000
2009.00,11.0000,1.00000,9.00000,30.1800,0.0500000,358.990,986.440,38.9500,502.000,128.000,-999.000
2009.00,11.0000,1.00000,10.0000,29.5000,0.0500000,358.990,986.240,41.9800,502.000,128.000,-999.000
2009.00,11.0000,1.00000,12.0000,24.3600,0.0500000,358.990,986.530,58.9900,502.000,128.000,-999.000
2009.00,11.0000,1.00000,13.0000,21.5800,0.0500000,358.990,987.020,62.9000,502.000,128.000,-999.000
2009.00,11.0000,1.00000,14.0000,20.2600,0.0500000,358.990,988.200,65.9300,502.000,128.000,-999.000
2009.00,11.0000,1.00000,15.0000,19.4800,0.0500000,358.990,988.780,68.9600,502.000,128.000,-999.000
2009.00,11.0000,1.00000,16.0000,18.7000,0.0500000,358.990,989.080,70.9200,502.000,128.000,-999.000
2009.00,11.0000,1.00000,17.0000,18.1600,0.0500000,358.990,989.470,72.9700,502.000,128.000,-999.000
2009.00,11.0000,1.00000,18.0000,17.9600,0.0500000,358.990,989.570,74.9300,502.000,128.000,-999.000
